"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"23.957","L18",3402,1,0,"LK",4,484,63,0,0,"23","422"
"23.958","L18",3408,0,0,"LK",4,555,61,1,0,"23","428"
"23.959","L18",3771,0,0,"LK",4,592,72,1,5,"23","48"
"23.960","L18",3779,0,0,"LK",4,563,74,0,90,"23","56"
"23.961","L18",4134,1,0,"LK",4,585,75,5,0,"23","411"
"23.962","L18",4136,1,0,"LK",4,462,50,0,0,"23","413"
"23.963","L18",4141,1,0,"LK",4,540,78,0,100,"23","418"
"23.964","L18",4499,1,0,"LK",4,682,77,0,90,"23","31"
"23.965","L18",4505,0,0,"LK",11,579,73,0,10,"23","37"
"23.966","L18",4506,0,0,"LK",4,557,77,6,20,"23","38"
"23.967","L18",4869,1,0,"LK",11,590,68,5,100,"23","401"
"23.968","L18",4871,1,0,"LK",16,688,83,2,0,"23","403"
"23.969","L18",4872,1,0,"LK",16,459,68,0,0,"23","404"
"23.970","L18",5227,0,0,"LK",11,634,55,3,100,"23","13"
"23.971","L18",5229,0,0,"LK",16,458,60,4,100,"23","15"
"23.972","L18",5237,1,0,"LK",4,504,58,2,30,"23","23"
"23.973","L18",5593,1,0,"LK",4,679,66,0,0,"23","379"
"23.974","L18",5594,1,0,"LK",13,464,54,2,0,"23","380"
"23.975","L18",5597,1,0,"LK",12,620,73,5,80,"23","383"
"23.976","L18",5969,1,0,"LK",1,558,75,0,5,"23","755"
"23.977","L18",5972,1,0,"LK",5,614,74,4,20,"23","758"
"24.1011","L21",3042,0,0,"LK",4,635,80,2,0,"24","1"
"24.1012","L21",3044,0,0,"LK",4,424,61,0,10,"24","1"
"24.1013","L21",3052,0,0,"LK",4,602,71,0,100,"24","1"
"24.1014","L21",3400,1,0,"LK",4,593,75,0,10,"24","1"
"24.1015","L21",3402,0,0,"LK",4,447,60,0,10,"24","1"
"24.1016","L21",3408,1,0,"LK",4,604,65,4,0,"24","1"
"24.1017","L21",3771,1,0,"LK",4,665,80,3,1,"24","1"
"24.1018","L21",3773,1,0,"LK",4,375,58,1,100,"24","1"
"24.1019","L21",3779,1,0,"LK",4,637,79,4,90,"24","1"
"24.1020","L21",4134,0,0,"LK",4,617,76,6,10,"24","1"
"24.1021","L21",4136,1,0,"LK",4,396,44,0,0,"24","1"
"24.1022","L21",4141,1,0,"LK",4,611,81,4,100,"24","1"
"24.1023","L21",4499,0,0,"LK",4,529,74,1,100,"24","1"
"24.1024","L21",4505,0,0,"LK",11,535,71,10,40,"24","1"
"24.1025","L21",4506,0,0,"LK",4,505,74,6,0,"24","1"
"24.1026","L21",4869,0,0,"LK",11,442,68,7.5,100,"24","1"
"24.1027","L21",4871,0,0,"LK",16,509,68,7,15,"24","1"
"24.1028","L21",4872,0,0,"LK",16,623,73,5,0,"24","1"
"24.1029","L21",5227,0,0,"LK",11,659,57,5,100,"24","1"
"24.1030","L21",5229,0,0,"LK",16,481,60,3,100,"24","1"
"24.1031","L21",5235,0,0,"LK",4,481,61,2,100,"24","1"
"24.1032","L21",5593,0,0,"LK",4,503,55,0,0,"24","1"
"24.1033","L21",5594,0,0,"LK",13,443,54,0,0,"24","1"
"24.1034","L21",5597,0,0,"LK",12,638,76,0,70,"24","1"
"24.1035","L21",5969,0,0,"LK",1,540,70,0,0,"24","1"
"24.1036","L21",5972,0,0,"LK",5,431,62,1,0,"24","1"
"25.1049","L23",3042,1,0,"LK",4,658,83,9,0,"25","333"
"25.1050","L23",3044,1,0,"LK",4,400,60,0,10,"25","335"
"25.1051","L23",3052,1,0,"LK",4,631,75,0,95,"25","343"
"25.1052","L23",3400,0,0,"LK",4,615,76,1,10,"25","11"
"25.1053","L23",3402,1,0,"LK",4,420,57,0,20,"25","13"
"25.1054","L23",3408,0,0,"LK",4,629,66,1,0,"25","19"
"25.1055","L23",3771,1,0,"LK",4,650,79,1,5,"25","48"
"25.1056","L23",3773,1,0,"LK",4,402,58,0,100,"25","50"
"25.1057","L23",3779,1,0,"LK",4,615,77,2,90,"25","56"
"25.1058","L23",4134,1,0,"LK",4,603,76,6,10,"25","411"
"25.1059","L23",4136,1,0,"LK",4,411,45,0,0,"25","413"
"25.1060","L23",4141,1,0,"LK",4,594,81,2,100,"25","418"
"25.1061","L23",4499,1,0,"LK",4,514,74,0,100,"25","36"
"25.1062","L23",4505,1,0,"LK",11,519,70,5,50,"25","42"
"25.1063","L23",4506,1,0,"LK",4,519,76,4,10,"25","43"
"25.1064","L23",4869,1,0,"LK",11,432,68,2.5,100,"25","406"
"25.1065","L23",4871,1,0,"LK",16,494,66,5,25,"25","408"
"25.1066","L23",4872,1,0,"LK",16,634,76,4,0,"25","409"
"25.1067","L23",5227,0,0,"LK",11,648,55,5,100,"25","46"
"25.1068","L23",5229,0,0,"LK",16,497,60,2,100,"25","48"
"25.1069","L23",5235,1,0,"LK",4,492,61,4,100,"25","54"
"25.1070","L23",5593,0,0,"LK",4,490,49,0,0,"25","412"
"25.1071","L23",5594,0,0,"LK",13,428,52,1,5,"25","413"
"25.1072","L23",5597,0,0,"LK",12,652,76,0,70,"25","416"
"25.1073","L23",5969,1,0,"LK",1,526,65,0,0,"25","788"
"25.1074","L23",5972,1,0,"LK",5,416,62,1,0,"25","791"
"26.1075","L24",3042,1,0,"LK",4,677,85,10,0,"26","333"
"26.1076","L24",3044,1,0,"LK",4,385,60,2,5,"26","335"
"26.1077","L24",3052,1,0,"LK",4,648,75,1,75,"26","343"
"26.1078","L24",3400,1,0,"LK",4,631,76,1,15,"26","11"
"26.1079","L24",3402,0,0,"LK",4,400,56,0,30,"26","13"
"26.1080","L24",3408,0,0,"LK",4,642,68,2,0,"26","19"
"26.1081","L24",3771,1,0,"LK",4,630,77,8,10,"26","48"
"26.1082","L24",3773,1,0,"LK",4,418,58,1,100,"26","50"
"26.1083","L24",3779,1,0,"LK",4,598,76,3,100,"26","56"
"26.1084","L24",4130,0,0,"LK",4,615,65,9,0,"26","407"
"26.1085","L24",4136,0,0,"LK",4,445,47,2,0,"26","413"
"26.1086","L24",4141,0,0,"LK",4,580,80,2,100,"26","418"
"26.1087","L24",4499,0,0,"LK",4,495,73,2,100,"26","36"
"26.1088","L24",4505,0,0,"LK",11,553,72,5,20,"26","42"
"26.1089","L24",4506,0,0,"LK",4,535,76,8,15,"26","43"
"26.1090","L24",4869,0,0,"LK",11,419,68,2.5,100,"26","406"
"26.1091","L24",4871,1,0,"LK",16,473,66,5,25,"26","408"
"26.1092","L24",4872,1,0,"LK",16,648,76,5,0,"26","409"
"26.1093","L24",5227,0,0,"LK",11,680,57,3,100,"26","46"
"26.1094","L24",5229,0,0,"LK",16,475,60,4,100,"26","48"
"26.1095","L24",5235,0,0,"LK",4,464,61,1,100,"26","54"
"26.1096","L24",5593,0,0,"LK",4,459,46,1,0,"26","412"
"26.1097","L24",5594,0,0,"LK",13,412,50,1,5,"26","413"
"26.1098","L24",5597,0,0,"LK",12,671,78,0,70,"26","416"
"26.1099","L24",5969,0,0,"LK",1,510,62,0,0,"26","788"
"26.1100","L24",5972,0,0,"LK",5,400,61,1,0,"26","791"
"27.1159","L6",3042,0,0,"LK",4,450,63,0,0,"27","769"
"27.1160","L6",3044,0,0,"LK",4,590,73,2,15,"27","771"
"27.1161","L6",3052,0,0,"LK",4,462,64,1,100,"27","779"
"27.1162","L6",3400,0,0,"LK",4,454,57,5,100,"27","50"
"27.1163","L6",3402,0,0,"LK",4,605,74,1,5,"27","52"
"27.1164","L6",3408,0,0,"LK",4,430,43,0,0,"27","58"
"27.1165","L6",3771,0,0,"LK",4,443,60,0,0,"27","421"
"27.1166","L6",3773,0,0,"LK",4,560,64,3,100,"27","423"
"27.1167","L6",3779,0,0,"LK",4,434,62,0,90,"27","429"
"27.1168","L6",4130,0,0,"LK",4,454,50,0,0,"27","780"
"27.1169","L6",4136,0,0,"LK",4,564,64,1,0,"27","786"
"27.1170","L6",4141,0,0,"LK",4,429,74,0,100,"27","791"
"27.1171","L6",4499,0,0,"LK",4,413,69,3,100,"27","13"
"27.1172","L6",4505,0,0,"LK",11,651,79,5,10,"27","19"
"27.1173","L6",4506,0,0,"LK",4,608,77,7,50,"27","20"
"27.1175","L6",4871,0,0,"LK",16,382,62,2,100,"27","385"
"27.1176","L6",4872,0,0,"LK",16,394,65,0,0,"27","386"
"27.1177","L6",5227,1,0,"LK",11,411,47,7,100,"27","741"
"27.1178","L6",5229,1,0,"LK",16,405,60,4,100,"27","743"
"27.1179","L6",5235,1,0,"LK",4,401,60,0,100,"27","749"
"27.1180","L6",5593,0,0,"LK",4,401,45,0,0,"27","1107"
"27.1181","L6",5594,0,0,"LK",13,651,70,10,20,"27","1108"
"27.1182","L6",5597,0,0,"LK",12,396,64,5,60,"27","1111"
"27.1183","L6",5969,0,0,"LK",1,586,80,0,5,"27","50"
"27.1184","L6",5970,0,0,"LK",1,613,80,0,50,"27","51"
"27.1185","L6",5972,0,0,"LK",5,628,74,8,35,"27","53"
"28.1206","L9",3042,0,0,"LK",4,554,71,2,0,"28","13"
"28.1207","L9",3044,0,0,"LK",4,557,70,5,20,"28","13"
"28.1208","L9",3052,0,0,"LK",4,454,64,1,100,"28","13"
"28.1209","L9",3400,0,0,"LK",4,493,58,3,100,"28","13"
"28.1210","L9",3402,0,0,"LK",4,576,73,2,5,"28","13"
"28.1211","L9",3408,0,0,"LK",4,458,47,0,0,"28","13"
"28.1212","L9",3771,0,0,"LK",4,481,63,1,0,"28","13"
"28.1213","L9",3773,0,0,"LK",4,531,62,1,100,"28","13"
"28.1214","L9",3779,0,0,"LK",4,466,65,1,95,"28","13"
"28.1215","L9",4130,0,0,"LK",4,487,51,1,0,"28","13"
"28.1216","L9",4136,0,0,"LK",4,552,62,1,0,"28","13"
"28.1217","L9",4141,0,0,"LK",4,441,74,0,100,"28","13"
"28.1218","L9",4499,0,0,"LK",4,425,69,1,100,"28","13"
"28.1219","L9",4505,0,0,"LK",11,606,77,15,10,"28","13"
"28.1220","L9",4506,0,0,"LK",4,592,76,4,80,"28","13"
"28.1221","L9",4869,0,0,"LK",11,389,68,2.5,100,"28","10"
"28.1222","L9",4871,0,0,"LK",16,423,64,5,75,"28","11"
"28.1223","L9",4872,0,0,"LK",16,405,65,0,0,"28","12"
"28.1224","L9",5227,0,0,"LK",11,423,47,10,100,"28","7"
"28.1225","L9",5229,0,0,"LK",16,419,60,5,100,"28","8"
"28.1226","L9",5235,0,0,"LK",4,413,60,0,100,"28","9"
"28.1227","L9",5593,0,0,"LK",4,412,45,0,0,"28","1"
"28.1228","L9",5594,0,0,"LK",13,636,68,5,10,"28","2"
"28.1229","L9",5597,0,0,"LK",12,407,66,0,80,"28","3"
"28.1230","L9",5969,0,0,"LK",1,573,78,0,5,"28","4"
"28.1231","L9",5970,0,0,"LK",1,602,75,0,50,"28","5"
"28.1232","L9",5972,0,0,"LK",5,346,61,1,0,"28","6"
"29.1233","M1",3042,0,1,"MN",2,383,50,0,0,"29","18"
"29.1234","M1",3044,0,1,"MN",2,703,65,0,2,"29","18"
"29.1235","M1",3052,0,1,"MN",2,380,65,0,30,"29","18"
"29.1236","M1",3400,0,1,"MN",9,550,60,3,95,"29","18"
"29.1237","M1",3402,1,1,"MN",9,560,70,1,1,"29","18"
"29.1238","M1",3408,0,1,"MN",9,430,45,1,5,"29","18"
"29.1239","M1",3771,0,1,"MN",14,361,58,0,0,"29","18"
"29.1240","M1",3773,0,1,"MN",14,623,66,2,100,"29","18"
"29.1241","M1",3778,0,1,"MN",14,353,61,0,100,"29","18"
"29.1242","M1",4499,0,1,"MN",11,383,69,0,100,"29","8"
"29.1243","M1",4500,0,1,"MN",4,410,69,0,100,"29","11"
"29.1244","M1",4505,0,1,"MN",16,379,58,0,0,"29","12"
"29.1245","M1",4869,0,1,"MN",6,395,65,5,100,"29","7"
"29.1246","M1",4870,0,1,"MN",4,395,65,0,100,"29","9"
"29.1247","M1",4871,0,1,"MN",11,589,69,7.5,41,"29","10"
"29.1248","M1",5227,0,1,"MN",4,377,47,0,100,"29","13"
"29.1249","M1",5231,1,1,"MN",10,397,53,3,100,"29","14"
"29.1250","M1",5234,0,1,"MN",11,574,65,1,88,"29","15"
"29.1251","M1",5593,0,0,"MN",12,394,46,0,0,"29","1"
"29.1252","M1",5594,0,1,"MN",16,377,52,0,0,"29","2"
"29.1253","M1",5597,0,1,"MN",4,653,73,2,40,"29","3"
"29.1254","M1",5970,0,1,"MN",1,347,50,0,0,"29","4"
"29.1255","M1",5971,0,1,"MN",16,361,57,0,100,"29","5"
"3.95","J16",3043,0,0,"JR",2,585,75,5,0,"3","81"
"3.96","J16",3049,0,0,"JR",2,499,58,3,0,"3","87"
"3.97","J16",3053,0,0,"JR",2,552,70,3,0,"3","91"
"3.98","J16",3399,0,0,"JR",9,595,65,5,85,"3","437"
"3.99","J16",3401,1,0,"JR",9,495,65,3,90,"3","439"
"3.100","J16",3407,0,0,"JR",9,565,55,5,3,"3","445"
"3.101","J16",3771,0,0,"JR",8,565,70,2,0,"3","50"
"3.102","J16",3773,0,0,"JR",8,457,59,0,100,"3","52"
"3.103","J16",3779,0,0,"JR",8,434,63,3,70,"3","58"
"3.104","J16",4498,0,0,"JR",11,427,70,2,100,"3","777"
"3.105","J16",4500,0,0,"JR",16,502,73,5,100,"3","779"
"3.106","J16",4505,0,0,"JR",4,554,73,1,15,"3","784"
"3.107","J16",4869,1,0,"JR",4,445,65,1,100,"3","329"
"3.108","J16",4870,0,0,"JR",11,424,69,1.5,69,"3","330"
"3.109","J16",4871,1,0,"JR",6,517,68,8,35,"3","331"
"3.110","J16",5227,0,0,"JR",10,454,50,5,100,"3","13"
"3.111","J16",5229,0,0,"JR",11,433,58,1,77,"3","15"
"3.112","J16",5237,0,0,"JR",16,417,58,8,100,"3","23"
"3.113","J16",5593,1,0,"JR",13,448,48,0,0,"3","379"
"3.114","J16",5594,0,0,"JR",12,579,70,12,0,"3","380"
"3.115","J16",5601,0,0,"JR",16,434,55,0,20,"3","387"
"3.116","J16",5969,0,0,"JR",5,630,73,4,1,"3","755"
"3.117","J16",5970,1,0,"JR",16,439,55,0,0,"3","756"
"3.118","J16",5971,1,0,"JR",1,425,65,0,85,"3","757"
"30.1256","M10",3042,0,1,"MN",2,498,60,0,0,"30","15"
"30.1257","M10",3044,1,1,"MN",2,592,65,0,5,"30","15"
"30.1258","M10",3052,1,1,"MN",2,495,65,0,100,"30","15"
"30.1259","M10",3400,0,1,"MN",9,480,60,3,95,"30","15"
"30.1260","M10",3402,1,1,"MN",9,675,80,1,1,"30","15"
"30.1261","M10",3408,0,1,"MN",9,570,55,3,3,"30","15"
"30.1262","M10",3771,0,1,"MN",14,463,64,0,0,"30","15"
"30.1263","M10",3773,0,1,"MN",14,518,62,2,100,"30","15"
"30.1264","M10",3779,0,1,"MN",14,372,62,0,100,"30","15"
"30.1265","M10",4499,0,1,"MN",11,490,73,0,100,"30","1"
"30.1266","M10",4500,0,1,"MN",4,612,76,6,70,"30","2"
"30.1267","M10",4505,0,1,"MN",16,560,70,0,0,"30","9"
"30.1268","M10",4869,1,1,"MN",6,459,66,7,100,"30","3"
"30.1269","M10",4870,0,1,"MN",4,629,81,1,15,"30","4"
"30.1270","M10",4871,1,1,"MN",11,450,69,1.5,41,"30","5"
"30.1271","M10",5227,0,1,"MN",4,622,55,0,100,"30","10"
"30.1272","M10",5229,0,1,"MN",10,555,64,12,90,"30","11"
"30.1273","M10",5234,0,1,"MN",11,444,60,0,88,"30","12"
"30.1274","M10",5593,0,0,"MN",12,512,58,0,0,"30","6"
"30.1275","M10",5594,1,1,"MN",16,523,60,2,10,"30","7"
"30.1276","M10",5597,0,1,"MN",4,619,70,0,40,"30","8"
"30.1277","M10",5970,1,1,"MN",1,573,72,0,40,"30","13"
"30.1278","M10",5971,0,1,"MN",16,416,59,2,100,"30","14"
"31.1288","M12",3042,0,1,"MN",2,523,65,0,0,"31","1166"
"31.1289","M12",3044,0,1,"MN",2,567,65,2,5,"31","1168"
"31.1290","M12",3052,1,1,"MN",2,518,65,0,100,"31","1176"
"31.1291","M12",3400,0,1,"MN",9,510,60,5,95,"31","75"
"31.1292","M12",3402,0,1,"MN",9,585,75,1,1,"31","77"
"31.1293","M12",3408,0,1,"MN",9,665,65,1,3,"31","83"
"31.1294","M12",3771,0,1,"MN",14,484,66,0,0,"31","446"
"31.1295","M12",3773,0,1,"MN",14,498,61,2,100,"31","448"
"31.1296","M12",3779,0,1,"MN",14,393,62,2,100,"31","454"
"31.1297","M12",4499,0,1,"MN",11,507,74,1,100,"31","404"
"31.1298","M12",4500,1,1,"MN",4,664,77,7,80,"31","405"
"31.1299","M12",4505,0,1,"MN",16,610,72,0,0,"31","410"
"31.1300","M12",4869,1,1,"MN",6,406,65,5,100,"31","774"
"31.1301","M12",4870,1,1,"MN",4,410,65,0,100,"31","775"
"31.1302","M12",4871,1,1,"MN",11,440,69,0,41,"31","776"
"31.1303","M12",5227,1,1,"MN",4,632,55,0,100,"31","46"
"31.1304","M12",5229,0,1,"MN",10,536,64,10,85,"31","48"
"31.1305","M12",5234,0,1,"MN",11,397,58,0,88,"31","53"
"31.1306","M12",5593,0,0,"MN",12,527,57,0,0,"31","412"
"31.1307","M12",5594,0,1,"MN",16,512,60,2,0,"31","413"
"31.1308","M12",5597,0,1,"MN",4,606,68,0,90,"31","416"
"31.1309","M12",5970,0,1,"MN",1,503,60,0,15,"31","789"
"31.1310","M12",5971,1,1,"MN",1,681,70,10,100,"31","790"
"31.1311","M12",5971,0,1,"MN",16,373,59,0,100,"31","790"
"32.1321","M14",3042,1,1,"MN",2,546,65,0,0,"32","15"
"32.1322","M14",3044,1,1,"MN",2,543,65,0,0,"32","15"
"32.1323","M14",3052,1,1,"MN",2,546,65,0,100,"32","15"
"32.1324","M14",3400,1,1,"MN",9,610,65,5,85,"32","15"
"32.1325","M14",3402,1,1,"MN",9,500,65,1,1,"32","15"
"32.1326","M14",3408,0,1,"MN",9,620,60,1,3,"32","15"
"32.1327","M14",3771,1,1,"MN",14,506,68,4,0,"32","15"
"32.1328","M14",3773,0,1,"MN",14,478,60,0,100,"32","15"
"32.1329","M14",3779,0,1,"MN",14,413,62,2,100,"32","15"
"32.1330","M14",4499,0,1,"MN",11,516,74,0,100,"32","1"
"32.1331","M14",4500,0,1,"MN",4,652,77,6,95,"32","2"
"32.1332","M14",4505,0,1,"MN",16,576,70,0,0,"32","9"
"32.1333","M14",4869,0,1,"MN",6,416,65,6,100,"32","3"
"32.1334","M14",4870,0,1,"MN",4,618,81,2,10,"32","4"
"32.1335","M14",4871,0,1,"MN",11,431,69,0,41,"32","5"
"32.1336","M14",5227,0,1,"MN",4,576,52,2,100,"32","10"
"32.1337","M14",5229,0,1,"MN",10,523,64,10,85,"32","11"
"32.1338","M14",5234,0,1,"MN",11,407,58,0,88,"32","12"
"32.1339","M14",5593,0,0,"MN",12,538,59,4,0,"32","6"
"32.1340","M14",5594,0,1,"MN",16,501,60,1,0,"32","7"
"32.1341","M14",5597,0,1,"MN",4,595,66,0,100,"32","8"
"32.1342","M14",5970,1,1,"MN",1,515,65,0,20,"32","13"
"32.1343","M14",5971,1,1,"MN",16,385,59,0,100,"32","14"
"33.1353","M16",3042,0,1,"MN",2,562,65,0,0,"33","439"
"33.1354","M16",3044,1,1,"MN",2,526,65,5,0,"33","441"
"33.1355","M16",3052,1,1,"MN",2,564,65,1,100,"33","449"
"33.1356","M16",3400,0,1,"MN",9,630,65,5,85,"33","36"
"33.1357","M16",3402,0,1,"MN",9,480,65,1,1,"33","38"
"33.1358","M16",3408,0,1,"MN",9,600,60,1,3,"33","44"
"33.1359","M16",3771,1,1,"MN",14,524,70,2,1,"33","407"
"33.1360","M16",3773,0,1,"MN",14,460,60,0,100,"33","409"
"33.1361","M16",3779,1,1,"MN",14,429,64,0,100,"33","415"
"33.1362","M16",4499,0,1,"MN",11,524,74,2,100,"33","1135"
"33.1363","M16",4500,1,1,"MN",4,642,76,2,90,"33","1136"
"33.1364","M16",4505,1,1,"MN",16,595,72,0,0,"33","1141"
"33.1365","M16",4869,1,1,"MN",6,425,66,6,100,"33","32"
"33.1366","M16",4870,1,1,"MN",4,609,76,4,30,"33","33"
"33.1367","M16",4871,1,1,"MN",11,423,69,1.5,41,"33","34"
"33.1368","M16",5227,0,1,"MN",4,585,52,2,100,"33","390"
"33.1369","M16",5229,0,1,"MN",10,509,64,8,80,"33","392"
"33.1370","M16",5234,1,1,"MN",11,417,59,0,88,"33","397"
"33.1371","M16",5593,0,0,"MN",12,549,60,0,0,"33","756"
"33.1372","M16",5594,1,1,"MN",16,492,60,0,0,"33","757"
"33.1373","M16",5597,0,1,"MN",4,576,65,0,100,"33","760"
"33.1374","M16",5970,1,1,"MN",1,524,65,0,25,"33","1133"
"33.1375","M16",5971,0,1,"MN",16,395,59,0,100,"33","1134"
"34.1412","M20",3042,0,1,"MN",2,620,75,2,0,"34","1"
"34.1413","M20",3044,0,1,"MN",2,466,65,3,0,"34","1"
"34.1414","M20",3052,0,1,"MN",2,611,65,2,100,"34","1"
"34.1415","M20",3402,0,1,"MN",9,420,55,1,10,"34","1"
"34.1416","M20",3404,0,1,"MN",9,695,75,1,30,"34","1"
"34.1417","M20",3408,0,1,"MN",9,510,50,3,3,"34","1"
"34.1418","M20",3771,0,1,"MN",14,572,76,2,4,"34","1"
"34.1419","M20",3773,0,1,"MN",14,412,59,2,100,"34","1"
"34.1420","M20",3779,0,1,"MN",14,483,68,2,100,"34","1"
"34.1421","M20",4499,1,1,"MN",11,547,74,8,100,"34","1"
"34.1422","M20",4500,0,1,"MN",4,466,70,0,100,"34","1"
"34.1423","M20",4505,0,1,"MN",16,664,75,2,0,"34","1"
"34.1424","M20",4869,1,1,"MN",6,491,68,7,100,"34","1"
"34.1425","M20",4870,1,1,"MN",4,465,65,1,50,"34","1"
"34.1426","M20",4871,0,1,"MN",11,608,69,10,41,"34","1"
"34.1427","M20",5227,0,1,"MN",4,546,51,1,100,"34","1"
"34.1428","M20",5229,0,1,"MN",10,395,60,10,100,"34","1"
"34.1429","M20",5234,0,1,"MN",11,614,66,3,88,"34","1"
"34.1430","M20",5593,0,0,"MN",12,565,60,4,0,"34","1"
"34.1431","M20",5594,1,1,"MN",16,564,60,2,10,"34","1"
"34.1432","M20",5597,0,1,"MN",4,424,64,0,95,"34","1"
"34.1433","M20",5970,0,1,"MN",1,465,55,0,15,"34","1"
"34.1434","M20",5971,0,1,"MN",1,646,65,10,95,"34","1"
"34.1435","M20",5971,0,1,"MN",16,544,61,6,50,"34","1"
"35.1445","M22",3042,0,1,"MN",2,656,75,0,0,"35","364"
"35.1446","M22",3044,0,1,"MN",2,441,65,0,0,"35","366"
"35.1447","M22",3052,0,1,"MN",2,618,65,0,100,"35","374"
"35.1448","M22",3400,0,1,"MN",9,580,65,5,70,"35","722"
"35.1449","M22",3402,0,1,"MN",9,520,65,1,1,"35","724"
"35.1450","M22",3408,0,1,"MN",9,470,45,1,5,"35","730"
"35.1451","M22",3771,0,1,"MN",14,598,79,8,10,"35","336"
"35.1452","M22",3773,0,1,"MN",14,387,58,2,100,"35","338"
"35.1453","M22",3779,0,1,"MN",14,511,70,2,100,"35","344"
"35.1454","M22",4499,0,1,"MN",11,560,74,1,100,"35","321"
"35.1455","M22",4500,0,1,"MN",4,445,69,0,100,"35","322"
"35.1456","M22",4505,0,1,"MN",16,650,73,3,0,"35","327"
"35.1457","M22",4869,0,1,"MN",6,477,66,7,100,"35","691"
"35.1458","M22",4870,1,1,"MN",4,448,65,1,100,"35","692"
"35.1459","M22",4871,1,1,"MN",11,405,69,0,41,"35","693"
"35.1460","M22",5227,0,1,"MN",4,525,51,1,100,"35","298"
"35.1461","M22",5229,0,1,"MN",10,377,60,7,100,"35","300"
"35.1462","M22",5234,0,1,"MN",11,592,66,5,88,"35","305"
"35.1463","M22",5593,0,0,"MN",12,581,61,2,0,"35","664"
"35.1464","M22",5594,0,1,"MN",16,578,65,2,10,"35","665"
"35.1465","M22",5597,0,1,"MN",4,403,63,1,100,"35","668"
"35.1466","M22",5970,0,1,"MN",1,479,55,0,15,"35","365"
"35.1467","M22",5971,0,1,"MN",1,634,65,10,95,"35","366"
"35.1468","M22",5971,0,1,"MN",16,560,61,4,50,"35","366"
"36.1488","M25",3042,0,1,"MN",2,686,80,5,0,"36","371"
"36.1489","M25",3044,0,1,"MN",2,399,65,2,0,"36","373"
"36.1490","M25",3052,0,1,"MN",2,639,65,0,90,"36","0"
"36.1491","M25",3400,1,1,"MN",9,570,60,5,75,"36","348"
"36.1492","M25",3402,1,1,"MN",9,540,70,1,1,"36","350"
"36.1493","M25",3408,1,1,"MN",9,450,45,1,5,"36","356"
"36.1494","M25",3771,0,1,"MN",14,635,82,8,10,"36","719"
"36.1495","M25",3773,0,1,"MN",14,356,58,2,100,"36","721"
"36.1496","M25",3779,0,1,"MN",14,550,73,4,100,"36","727"
"36.1497","M25",4499,0,1,"MN",11,568,75,15,100,"36","673"
"36.1498","M25",4500,0,1,"MN",4,421,69,0,100,"36","674"
"36.1499","M25",4505,0,1,"MN",16,630,73,2,0,"36","679"
"36.1500","M25",4869,0,1,"MN",6,382,65,7,100,"36","341"
"36.1501","M25",4870,0,1,"MN",4,383,65,0,100,"36","342"
"36.1502","M25",4871,0,1,"MN",11,386,69,0,41,"36","343"
"36.1503","M25",5231,0,1,"MN",10,409,54,3,100,"36","312"
"36.1504","M25",5234,0,1,"MN",11,583,66,0,88,"36","315"
"36.1505","M25",5237,0,1,"MN",4,484,57,5,40,"36","318"
"36.1506","M25",5593,0,0,"MN",12,591,61,0,0,"36","674"
"36.1507","M25",5594,1,1,"MN",16,363,52,0,0,"36","675"
"36.1508","M25",5597,0,1,"MN",4,381,63,1,100,"36","678"
"36.1509","M25",5970,0,1,"MN",1,490,60,0,20,"36","363"
"36.1510","M25",5971,0,1,"MN",1,625,65,10,95,"36","364"
"36.1511","M25",5971,0,1,"MN",16,350,57,2,100,"36","364"
"37.1521","M3",3042,0,1,"MN",2,406,50,2,0,"37","704"
"37.1522","M3",3044,0,1,"MN",2,680,65,0,5,"37","706"
"37.1523","M3",3052,0,1,"MN",2,405,65,0,60,"37","714"
"37.1524","M3",3400,1,1,"MN",9,540,60,3,95,"37","1062"
"37.1525","M3",3402,0,1,"MN",9,600,75,1,1,"37","1064"
"37.1526","M3",3408,0,1,"MN",9,410,45,1,5,"37","1070"
"37.1527","M3",3771,1,1,"MN",14,382,58,0,0,"37","333"
"37.1528","M3",3778,1,1,"MN",14,375,61,0,100,"37","340"
"37.1529","M3",4499,0,1,"MN",11,392,69,0,100,"37","371"
"37.1530","M3",4500,1,1,"MN",4,675,78,7,90,"37","372"
"37.1531","M3",4505,0,1,"MN",16,392,58,0,0,"37","377"
"37.1532","M3",4869,0,1,"MN",6,591,70,7,100,"37","741"
"37.1533","M3",4870,0,1,"MN",4,645,82,5,10,"37","742"
"37.1534","M3",4871,0,1,"MN",11,575,69,7.5,41,"37","743"
"37.1535","M3",5227,1,1,"MN",4,391,47,0,100,"37","308"
"37.1536","M3",5231,1,1,"MN",10,385,53,3,100,"37","312"
"37.1537","M3",5234,0,1,"MN",11,564,65,3,88,"37","315"
"37.1538","M3",5593,0,0,"MN",12,404,46,0,0,"37","674"
"37.1539","M3",5594,1,1,"MN",16,387,55,0,0,"37","675"
"37.1540","M3",5597,1,1,"MN",4,643,72,3,40,"37","678"
"37.1541","M3",5970,1,1,"MN",1,355,50,0,0,"37","363"
"37.1542","M3",5971,1,1,"MN",16,452,59,0,100,"37","364"
"38.1552","M5",3042,0,1,"MN",2,429,55,0,0,"38","371"
