"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"12.468","K15",4143,0,0,"LK",11,476,68,0,100,"12","786"
"12.469","K15",4499,1,0,"LK",4,643,78,1,40,"12","322"
"12.470","K15",4505,1,0,"LK",11,375,59,0,20,"12","328"
"12.471","K15",4506,0,0,"LK",4,392,64,0,100,"12","329"
"12.472","K15",4869,0,0,"LK",11,542,68,2.5,100,"12","46"
"12.473","K15",4871,0,0,"LK",16,650,79,6,0,"12","48"
"12.474","K15",4872,0,0,"LK",16,492,68,0,0,"12","49"
"12.475","K15",5227,1,0,"LK",11,578,52,8,100,"12","404"
"12.476","K15",5229,1,0,"LK",16,607,65,8,30,"12","406"
"12.477","K15",5237,0,0,"LK",4,530,58,3,40,"12","414"
"12.478","K15",5593,0,0,"LK",4,612,61,3,0,"12","21"
"12.479","K15",5594,1,0,"LK",13,501,56,2,0,"12","22"
"12.480","K15",5597,0,0,"LK",12,553,71,0,80,"12","25"
"12.481","K15",5969,1,0,"LK",1,375,55,0,0,"12","397"
"12.482","K15",5972,0,0,"LK",5,552,70,4,2,"12","400"
"13.495","K17",3042,0,0,"LK",7,599,74,1,0,"13","46"
"13.496","K17",3044,0,0,"LK",7,499,62,7,0,"13","48"
"13.497","K17",3052,0,0,"LK",7,574,67,1,100,"13","56"
"13.498","K17",3400,0,0,"LK",3,563,66.8,5,60,"13","404"
"13.499","K17",3404,0,0,"LK",3,468,70,0,0,"13","408"
"13.500","K17",3408,0,0,"LK",3,547,54.9,2,0,"13","412"
"13.501","K17",3770,1,0,"LK",11,581,73,1,0,"13","39"
"13.502","K17",3772,1,0,"LK",11,471,62,0,0,"13","41"
"13.503","K17",3774,0,0,"LK",11,565,67,1,0,"13","43"
"13.504","K17",4135,0,0,"LK",11,533,64,7,0,"13","404"
"13.505","K17",4137,0,0,"LK",11,472,55,0,0,"13","406"
"13.506","K17",4143,0,0,"LK",11,527,68,0,100,"13","412"
"13.507","K17",4499,1,0,"LK",4,655,78,0,80,"13","7"
"13.508","K17",4505,1,0,"LK",11,390,59,0,20,"13","13"
"13.509","K17",4506,0,0,"LK",4,403,64,1,100,"13","14"
"13.510","K17",4869,0,0,"LK",11,551,68,2.5,100,"13","377"
"13.511","K17",4871,0,0,"LK",16,672,79,5,0,"13","379"
"13.512","K17",4872,0,0,"LK",16,520,68,3,0,"13","380"
"13.513","K17",5227,0,0,"LK",11,599,52,10,100,"13","40"
"13.514","K17",5229,1,0,"LK",16,629,65,5,30,"13","42"
"13.515","K17",5237,0,0,"LK",4,540,60,6,20,"13","50"
"13.516","K17",5593,0,0,"LK",4,638,64,1,1,"13","406"
"13.517","K17",5594,0,0,"LK",13,527,56,1,0,"13","407"
"13.518","K17",5597,0,0,"LK",12,576,73,0,80,"13","410"
"13.519","K17",5969,0,0,"LK",1,363,55,0,0,"13","782"
"13.520","K17",5972,0,0,"LK",5,576,70,4,2,"13","785"
"14.521","K18",3042,0,0,"LK",7,610,75,5,0,"14","46"
"14.522","K18",3044,0,0,"LK",7,488,62,7,0,"14","48"
"14.523","K18",3052,0,0,"LK",7,585,68,2,100,"14","56"
"14.524","K18",3400,0,0,"LK",3,575,66.8,5,75,"14","404"
"14.525","K18",3404,0,0,"LK",3,459,70,0,0,"14","408"
"14.526","K18",3408,0,0,"LK",3,558,55.4,2,0,"14","412"
"14.527","K18",3770,0,0,"LK",11,594,74,3,0,"14","39"
"14.528","K18",3772,0,0,"LK",11,463,62,0,0,"14","41"
"14.529","K18",3774,0,0,"LK",11,573,68,2,0,"14","43"
"14.530","K18",4135,0,0,"LK",11,542,65,3,0,"14","404"
"14.531","K18",4137,0,0,"LK",11,454,53,0,0,"14","406"
"14.532","K18",4143,0,0,"LK",11,483,68,0,100,"14","412"
"14.533","K18",4499,0,0,"LK",4,668,77,0,90,"14","7"
"14.534","K18",4505,1,0,"LK",11,399,59,0,20,"14","13"
"14.535","K18",4506,0,0,"LK",4,413,66,3,100,"14","14"
"14.536","K18",4869,0,0,"LK",11,560,68,5,100,"14","377"
"14.537","K18",4871,0,0,"LK",16,661,79,5,0,"14","379"
"14.538","K18",4872,1,0,"LK",16,507,68,0,0,"14","380"
"14.539","K18",5227,0,0,"LK",11,587,52,5,100,"14","40"
"14.540","K18",5229,1,0,"LK",16,617,65,8,30,"14","42"
"14.541","K18",5235,1,0,"LK",4,620,68,2,100,"14","48"
"14.542","K18",5593,0,0,"LK",4,625,62,2,1,"14","406"
"14.543","K18",5594,0,0,"LK",13,510,56,2,0,"14","407"
"14.544","K18",5597,0,0,"LK",12,564,73,0,80,"14","410"
"14.545","K18",5969,1,0,"LK",1,346,54,0,0,"14","782"
"14.546","K18",5972,0,0,"LK",5,564,70,4,2,"14","785"
"15.559","K2",3042,0,0,"LK",7,390,57,1,0,"15","48"
"15.560","K2",3044,0,0,"LK",7,685,77,5,0,"15","50"
"15.561","K2",3052,0,0,"LK",7,370,64,0,100,"15","58"
"15.562","K2",3400,0,0,"LK",3,387,59.4,1,100,"15","406"
"15.563","K2",3404,0,0,"LK",3,640,80.5,1,0,"15","410"
"15.564","K2",3408,0,0,"LK",3,386,36.9,0,0,"15","414"
"15.565","K2",3770,1,0,"LK",11,379,60,0,0,"15","776"
"15.566","K2",3772,1,0,"LK",11,625,76,4,0,"15","778"
"15.567","K2",3774,1,0,"LK",11,388,61,1,0,"15","780"
"15.568","K2",4135,1,0,"LK",11,383,56,0,0,"15","7"
"15.569","K2",4137,0,0,"LK",11,572,65,0,0,"15","9"
"15.570","K2",4143,1,0,"LK",11,381,68,0,100,"15","15"
"15.571","K2",4499,1,0,"LK",4,553,72,0,100,"15","371"
"15.572","K2",4505,1,0,"LK",11,501,64,5,30,"15","377"
"15.573","K2",4506,1,0,"LK",4,492,73,2,0,"15","378"
"15.574","K2",4869,0,0,"LK",11,460,68,7.5,100,"15","46"
"15.575","K2",4871,1,0,"LK",16,530,68,7,5,"15","48"
"15.576","K2",4872,0,0,"LK",16,611,73,3,0,"15","49"
"15.577","K2",5227,0,0,"LK",11,469,50,3,100,"15","404"
"15.578","K2",5229,1,0,"LK",16,511,61,7,100,"15","406"
