"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",41
"11",43
"12",48
"13",406
"14",412
"15",413
"16",776
"17",778
"18",779
"19",1134
"20",1136
"21",1142
"22",1500
"23",1501
"24",1504
"25",89
"26",92
