PointName,Date,TotalBACS,Year,AREA,ROUTE,Time,Temp,Wind ,Cloud
N9,126,0,2015,2,3,442,53,0,15
N9,127,0,2015,2,3,376,61,0,80
N12,125,0,2015,2,4,356,53,0,0
N12,128,0,2015,2,4,490,60,5,0
N14,125,0,2015,2,4,455,58,0,0
N14,128,0,2015,2,4,476,60,5,0
P13,125,0,2015,2,4,368,65,0,0
P13,128,0,2015,2,4,496,10,10,5
P16,125,0,2015,2,4,539,65,0,0
P16,128,0,2015,2,4,486,10,10,10
P17,125,1,2015,2,4,560,65,0,0
P17,128,1,2015,2,4,607,10,10,10
P21,125,2,2015,2,4,550,65,0,0
P21,128,1,2015,2,4,578,10,10,0
P22,125,0,2015,2,4,618,65,0,0
P22,128,0,2015,2,4,563,10,10,0
P26,125,0,2015,2,4,588,64,0,0
P26,128,1,2015,2,4,628,10,10,0
P3,125,0,2015,2,4,574,65,0,0
P3,128,0,2015,2,4,593,10,10,5
P9,125,0,2015,2,4,637,65,0,0
P9,128,0,2015,2,4,583,10,10,10
Q11,125,1,2015,2,4,607,58,0,0
Q11,128,0,2015,2,4,645,60,5,0
Q12,125,0,2015,2,4,593,58,0,0
Q12,128,0,2015,2,4,466,60,5,0
Q15,125,0,2015,2,4,481,53,0,0
Q15,128,1,2015,2,4,605,60,5,0
Q19,125,0,2015,2,4,510,53,0,0
Q19,128,0,2015,2,4,552,60,5,0
Q2,125,0,2015,2,4,501,52,0,0
Q2,128,0,2015,2,4,523,60,0,0
Q23,125,0,2015,2,4,565,52,0,0
Q23,128,0,2015,2,4,513,65,5,0
Q4,125,1,2015,2,4,532,52,0,0
Q4,128,2,2015,2,4,576,60,0,0
Q5,125,0,2015,2,4,524,64,0,0
Q5,128,1,2015,2,4,546,65,10,0
Q7,125,0,2015,2,4,591,58,0,0
Q7,128,0,2015,2,4,534,60,0,0
