DATE,Year,PointName,area,ROUTE,TIME,Temp,Wind ,Cloud,TotalBACS
126,2015,N9,2,3,442,53,0,15,0
127,2015,N9,2,3,376,61,0,80,0
125,2015,N12,2,4,356,53,0,0,0
128,2015,N12,2,4,490,60,5,0,0
125,2015,N14,2,4,455,58,0,0,0
128,2015,N14,2,4,476,60,5,0,0
125,2015,P13,2,4,368,65,0,0,0
128,2015,P13,2,4,496,10,10,5,0
125,2015,P16,2,4,539,65,0,0,0
128,2015,P16,2,4,486,10,10,10,0
125,2015,P17,2,4,560,65,0,0,1
128,2015,P17,2,4,607,10,10,10,1
125,2015,P21,2,4,550,65,0,0,2
128,2015,P21,2,4,578,10,10,0,1
125,2015,P22,2,4,618,65,0,0,0
128,2015,P22,2,4,563,10,10,0,0
125,2015,P26,2,4,588,64,0,0,0
128,2015,P26,2,4,628,10,10,0,1
125,2015,P3,2,4,574,65,0,0,0
128,2015,P3,2,4,593,10,10,5,0
125,2015,P9,2,4,637,65,0,0,0
128,2015,P9,2,4,583,10,10,10,0
125,2015,Q11,2,4,607,58,0,0,1
128,2015,Q11,2,4,645,60,5,0,0
125,2015,Q12,2,4,593,58,0,0,0
128,2015,Q12,2,4,466,60,5,0,0
125,2015,Q15,2,4,481,53,0,0,0
128,2015,Q15,2,4,605,60,5,0,1
125,2015,Q19,2,4,510,53,0,0,0
128,2015,Q19,2,4,552,60,5,0,0
125,2015,Q2,2,4,501,52,0,0,0
128,2015,Q2,2,4,523,60,0,0,0
125,2015,Q23,2,4,565,52,0,0,0
128,2015,Q23,2,4,513,65,5,0,0
125,2015,Q4,2,4,532,52,0,0,1
128,2015,Q4,2,4,576,60,0,0,2
125,2015,Q5,2,4,524,64,0,0,0
128,2015,Q5,2,4,546,65,10,0,1
125,2015,Q7,2,4,591,58,0,0,0
128,2015,Q7,2,4,534,60,0,0,0
